Date,Open,High,Low,Close,Volume,Returns,Log Returns,Returns (%)
2016-01-20,21.673111572216328,22.377317690156346,21.290242648560767,22.058259963989258,289337600,,,
2016-01-21,22.119784059390238,22.306660389850972,21.636641308733974,21.946582794189453,208646000,0.9949371722891053,-0.005075687245209356,-0.5062827710894724
2016-01-22,22.477580990039208,23.122532801160613,22.418328756975118,23.11341667175293,263202000,1.053166995905732,0.05180181118141209,5.316699590573193
2016-01-25,23.136216249185704,23.138495717215985,22.60977215129412,22.662189483642578,207178000,0.9804776942103155,-0.019715383007551535,-1.9522305789684502
2016-01-26,22.77385375681124,22.9903562235641,22.349963215848916,22.787527084350586,300308000,1.00553069246899,0.005515454348483234,0.5530692468989962
2016-01-27,21.88733296099639,22.02179200066819,21.27200706945535,21.290239334106445,533478800,0.9342935394129533,-0.06796460810282884,-6.570646058704666
2016-01-28,21.374561838531843,21.54092646874654,21.0555041682383,21.442930221557617,222715200,1.007171872756102,0.0071462771826226856,0.7171872756102093
2016-01-29,21.602465952005872,22.183605194091797,21.502190209127164,22.183605194091797,257666000,1.0345416864617478,0.033958513633007816,3.4541686461747823
2016-02-01,21.985333403961985,22.040028469624318,21.741482468591624,21.97621726989746,163774000,0.9906512975515103,-0.009392675844604206,-0.9348702448489732
2016-02-02,21.74603762001696,21.887335076634127,21.48623390916173,21.531814575195312,149428800,0.9797780168786882,-0.020429246364645555,-2.022198312131185
2016-02-03,21.650319029056394,22.06965068934721,21.440653198910987,21.95798110961914,183857200,1.0197924115004582,0.019599088446747695,1.9792411500458185
2016-02-04,21.96485735407328,22.301685717493623,21.811337490577838,22.134416580200195,185886800,1.0080351408310377,0.00800303097706703,0.8035140831037735
2016-02-05,22.11608210784972,22.207736344249227,21.467632187569386,21.543245315551758,185672400,0.9732917620617453,-0.027071383510561996,-2.670823793825472
2016-02-08,21.339319452584025,21.928195712632284,21.318698163413522,21.77009391784668,216085600,1.010529917798929,0.010474864349466208,1.052991779892909
2016-02-09,21.605115031607173,21.983187705515384,21.522626384639587,21.7655086517334,177324800,0.9997893777523155,-0.00021064443166515762,-0.02106222476845332
2016-02-10,21.978607166926718,22.077135189961822,21.56158194695107,21.600534439086914,169374400,0.9924203833098407,-0.007608487966070092,-0.7579616690159274
2016-02-11,21.490544144507947,21.703639489616076,21.215581450216686,21.469921112060547,200298800,0.9939532363240968,-0.0060651193838713625,-0.6046763675903177
2016-02-12,21.582195399857117,21.65322658904528,21.311816415908822,21.536367416381836,161405600,1.0030948555411303,0.0030900763338186543,0.30948555411303147
2016-02-16,21.772386228691932,22.191703299546024,21.67844187706213,22.143585205078125,196231600,1.0281949957927632,0.027804833668430343,2.819499579276319
2016-02-17,22.150455819504913,22.50332354359207,22.0313065189287,22.482702255249023,179452800,1.0153144600131476,0.015198377332503829,1.5314460013147624
