Starting date,Stock Name,Expiry,K1,K2,BID(%),Midpoint(%),ASK(%)
20/01/2016,SPX,1Y,75,0,1.76,1.91,2.07
20/01/2016,SPX,1Y,70,0,0.83,0.93,1.03
20/01/2016,SPX,1Y,85,75,3.52,3.83,4.14
20/01/2016,SPX,1Y,80,70,2.48,2.69,2.9
20/01/2016,SPX,1Y,90,80,4.97,5.28,5.59
