QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,778x27,1.330000,2.190000,30.500000,0.000000,0.260000,0x174,0.150000,-0.139350,0.123730,0.008380,-0.041970,-0.000980,0.486840,10.000000,1.900000,0.058000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.820690,0.174730,0.009510,-0.038750,0.002220,0.422860,17.000000,1.400000,103x61,1.330000,1.670000,31.000000,0.180000,0.230000,51x20,0.320000,-0.205950,0.165430,0.010130,-0.054090,-0.001380,0.467020,85.000000,1.400000,0.042000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.720030,0.223490,0.012790,-0.052030,0.002370,0.418360,3.000000,1.140000,632x47,0.910000,1.320000,31.500000,0.280000,0.440000,40x124,0.320000,-0.307180,0.197280,0.013020,-0.071560,-0.001380,0.483310,511.000000,0.900000,0.027000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.584950,0.213400,0.014060,-0.075550,0.002440,0.499060,31.000000,0.870000,10x42,0.830000,0.990000,32.000000,0.460000,0.600000,20x21,0.520000,-0.411880,0.225090,0.014800,-0.077540,-0.001350,0.469500,92.000000,0.400000,0.011000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.473240,0.228260,0.014170,-0.074240,0.001530,0.475190,186.000000,0.610000,342x112,0.540000,0.700000,32.500000,0.700000,0.900000,20x128,0.800000,-0.525390,0.222220,0.014440,-0.083220,-0.002200,0.485830,6.000000,0.100000,0.004000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.370790,0.205890,0.014320,-0.074350,0.001850,0.498880,1822.000000,0.440000,20x41,0.410000,0.500000,33.000000,0.970000,1.330000,26x236,1.170000,-0.622510,0.197690,0.014310,-0.085530,-0.003220,0.520910,57.000000,0.600000,0.019000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.267580,0.186220,0.012550,-0.061730,0.001080,0.479900,279.000000,0.310000,51x20,0.230000,0.330000,33.500000,1.320000,1.740000,5x565,1.490000,-0.703070,0.170890,0.012400,-0.082180,-0.003270,0.548730,14.000000,1.100000,0.035000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.182800,0.151820,0.010150,-0.048070,0.001070,0.474770,1448.000000,0.170000,56x20,0.140000,0.200000,34.000000,1.590000,2.230000,413x412,1.880000,-0.779860,0.146370,0.010490,-0.069540,-0.003350,0.547110,5.000000,1.600000,0.050000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.112030,0.112850,0.007400,-0.032290,0.000170,0.459310,5.000000,0.100000,329x20,0.060000,0.120000,34.500000,1.920000,2.540000,572x661,0.000000,-0.906340,0.106510,0.005760,-0.032220,-0.003990,0.422000,,2.100000,0.066000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.093290,0.087650,0.006060,-0.030870,0.000420,0.514520,0.000000,0.290000,0x132,0.000000,0.160000,35.000000,1.690000,3.050000,111x68,0.000000,-1.000000,0.000000,-36.300320,0.000000,0.000000,,,2.600000,0.081000
