Starting date,Stock Name,Expiry,K1,K2,BID(%),Midpoint(%),ASK(%)
20/01/2016,SPX,1Y,75,0,1.82,1.98,2.14
20/01/2016,SPX,1Y,70,0,0.86,0.96,1.07
20/01/2016,SPX,1Y,85,75,3.64,3.96,4.28
20/01/2016,SPX,1Y,80,70,2.57,2.78,3.0
20/01/2016,SPX,1Y,90,80,5.14,5.46,5.78
