QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV,C_Midpoint,C_Spread
2016-01-20,27.47,2017-01-20,2.98,3.1,30.0,0.37618,3.04,-0.1200000000000001
2016-01-20,27.47,2017-01-20,1.6,1.68,35.0,0.36536,1.6400000000000001,-0.07999999999999985
2016-01-20,27.47,2017-01-20,0.82,0.89,40.0,0.3585,0.855,-0.07000000000000006
2016-01-20,27.47,2017-01-20,0.42,0.49,45.0,0.3583,0.45499999999999996,-0.07
2016-01-20,27.47,2017-01-20,0.22,0.28,50.0,0.3601,0.25,-0.060000000000000026
